seller_id,uf,tot_orders,tot_items,tot_items_dist,receita,recencia,churn
0ef83d7d83ed97cd2a0049ac8be5f88a,PR,19,21,5,1453.6700000000003,1,0
0f94588695d71662beec8d883ffacf09,SC,1,1,1,9.0,336,1
0ff83046c3fa22efee8ecf291888b191,RS,7,8,5,559.1999999999999,52,0
0ffa40d54288e4f3499b8780dd0f144f,SP,11,12,8,737.9,0,0
10076e5788b8ee532724bcd460baf762,SP,13,14,9,461.74000000000007,6,0
10089e9f2fd0c668a8fd4e52e1698888,SP,3,3,3,1139.9,78,1
1025f0e2d44d7041d6cf58b6550e0bfa,SP,280,489,64,42043.55000000021,5,0
1099a00e0ee3a50935e6c2447ca090c5,RJ,3,3,3,849.6999999999999,29,1
10ff823eda2b032e2c93d17a7d294736,SP,5,5,3,713.68,25,0
1127b7f2594683f2510f1c2c834a486b,SP,81,91,54,4508.580000000002,14,0
11305281b50fff20ae8bb473f8e11876,MG,21,24,16,4583.86,1,0
113e3a788b935f48aad63e1c41dac1bd,SP,17,22,14,371.3499999999999,31,0
116ccb1a1604bc88e4d234a8c23f33de,SP,20,26,14,636.9100000000001,1,0
11938fcc75f6902fea1d0a6f72b54a57,SC,1,1,1,249.99,20,0
119c7f1a00ef43fad0e57604e76a747c,SP,1,1,1,149.9,108,0
119d1aef1b4144adba89163f6cd9f5d4,SP,4,4,3,1094.0,75,1
11bfa66332777660bd0640ee84d47006,SP,35,43,22,1746.3799999999999,2,0
11d4c477d09821164bca4f70a2eae031,SP,3,4,2,83.04,156,1
11eac105f3f90a9b87b19c89d91e24f3,SP,5,5,4,802.89,203,1
1284de4ae8aa26997e748c851557cf0e,SP,3,3,3,1459.97,103,1
128639473a139ac0f3e5f5ade55873a5,PR,313,328,56,6789.449999999967,0,0
128f9bfbe4c7d5185033914b1de3d39a,SP,9,9,6,953.9,1,0
12a8eb0f8d1cd3270695bf2a99f55966,SP,2,2,2,397.0,49,1
12b9676b00f60f3b700e83af21824c0e,RS,98,98,29,19417.0,20,0
12c2ed9cded6138cf0c75f525f565fc7,SP,3,3,3,214.97,51,1
13074f016982ff2bd6c58ced8682f000,RS,7,8,3,1123.0,58,0
1336efc61c316ddf92c899eb817f7cae,SP,50,58,40,2802.3599999999997,8,0
134a288e7de827ec5ec62e3ec9c3a295,SP,9,9,7,877.45,134,1
1352e06ae67b410cdae0b2a22361167b,RJ,2,2,1,178.0,299,1
1354d51653f645349064725ed204e85e,SP,9,9,9,1050.0,29,0
139157dd4daa45c25b0807ffff348363,SP,1,1,1,29.9,153,1
13c2ed7698b3ca92dad49e849219da59,PR,2,3,2,178.98000000000002,3,0
13d058e4eeac2ce8217660b2f8a05812,SP,15,15,3,2589.8499999999995,48,0
13f57c12a00ed4610db646b913a7f5c6,SP,6,12,5,576.3,0,0
13fa2a6c6b9d0f43cb588d7c82117a12,SP,9,10,4,4528.0,124,1
1430239a858e7682bbc43b20758af153,SP,7,10,8,296.49,52,0
1464afc72f696af775557a821c2e253f,RJ,18,19,8,619.4599999999998,18,0
14d7985702e72162bbf13b6beb74ab2b,SP,20,20,14,2545.0,16,0
14ee35374a7876217954b5fa08e50463,SP,6,6,2,809.0,14,1
152ee17e4c8aaf53dac99f3462e4999b,SC,6,6,3,308.96000000000004,109,1
1554a68530182680ad5c8b042c3ab563,MG,163,176,44,17496.469999999987,1,0
157c3e4b42f81ac4a44e8b1ca2fe9876,SP,8,14,6,795.0,5,0
1588ac4010787100dddef64568f0ae35,PR,3,3,2,599.97,5,1
15aac934c58d886785ac1b17953ea898,ES,16,17,13,3572.0,0,0
15b3b1b81484422eb41df68ac87f1f50,SP,1,1,1,43.35,67,1
15cd6eefe58588619aaed41dfa6621b1,MG,7,9,5,522.0999999999999,155,0
15ead3a5037a918ddb520dfe39a3d2b9,MG,1,1,1,110.0,9,0
16090f2ca825584b5a147ab24aa30c86,SP,86,86,12,11323.849999999995,1,0
160e4f13fd3a64b1b86807be88b5ffb0,PR,3,3,2,707.0,18,0
165fc07beebdcb6190fba8a06db2a449,PR,41,52,19,15495.299999999997,0,0
1660ad786c27fd935378b6192a90b417,SP,6,6,6,740.0,92,0
166e8f1381e09651983c38b1f6f91c11,SC,2,2,1,78.8,163,1
167fd940acebc789debd6eb418c46e38,SP,2,2,2,327.88,41,0
17306570e772e7718c92a562d33f5f1d,SP,21,24,16,7083.599999999998,4,0
