sigla_uf	nome_municipio	ano	ibc	cobertura_pop_4g5g	fibra	adensamento_estacoes	densidade_smp	hhi_smp	densidade_scm	hhi_scm
PR	Missal	2024	71.87	81.62	100	26.55	69.07	61	66.41	67
SC	Campos Novos	2024	61.25	83.83	100	14.23	57.80	64	56.65	74
SC	Flor do Sertão	2024	63.63	68.51	50	81.08	55.46	50	50.00	43
SC	Itá	2024	71.75	82.25	100	47.88	77.84	59	43.09	64
SC	Ouro	2024	69.32	74.41	100	28.20	100.00	30	38.32	69
SC	Presidente Castello Branco	2024	41.78	45.89	50	58.45	32.18	18	8.77	7
SC	São João do Itaperiú	2024	53.99	53.49	50	42.27	35.50	49	51.56	68
RS	Cambará do Sul	2024	51.23	70.81	50	38.51	52.65	22	77.21	54
RS	Erebango	2024	73.05	93.66	100	64.08	60.73	49	40.29	61
RS	Estação	2024	74.79	97.94	100	43.95	81.66	59	45.53	46
RS	Inhacorá	2024	36.93	78.61	0	48.80	45.42	11	1.71	18
RS	Jaquirana	2024	45.05	64.86	50	53.26	63.17	19	15.98	60
RS	Panambi	2024	69.80	97.64	100	18.87	61.44	57	49.89	82
RS	Quatro Irmãos	2024	47.16	74.01	50	63.33	22.29	15	28.82	57
RS	Rondinha	2024	57.25	75.82	100	29.51	39.74	23	24.79	65
RS	Santo Antônio das Missões	2024	51.23	63.89	100	28.59	57.50	26	39.17	52
RS	São Pedro do Butiá	2024	63.80	88.49	100	63.71	48.15	6	25.41	45
RS	São Pedro do Sul	2024	58.44	82.66	100	25.20	54.84	35	44.44	32
RS	Sinimbu	2024	33.58	31.97	50	22.99	19.77	40	14.40	69
RS	Veranópolis	2024	72.86	95.42	100	34.64	63.08	43	70.20	54
MS	Iguatemi	2024	49.99	75.76	100	10.70	62.88	55	40.18	27
MT	Nova Olímpia	2024	64.45	92.70	100	27.58	66.43	32	63.55	53
MT	Novo Santo Antônio	2024	22.25	69.20	0	24.51	4.02	27	9.80	57
MT	Vera	2024	53.60	65.46	100	26.14	53.17	52	54.06	52
MT	Nova Guarita	2024	34.55	55.68	0	21.84	72.43	37	51.70	9
GO	Alto Horizonte	2024	60.35	93.61	50	54.90	76.62	33	66.86	48
GO	Colinas do Sul	2024	33.07	64.03	0	48.16	50.73	48	13.00	49
GO	Cristianópolis	2024	47.47	91.04	0	41.32	86.45	33	18.39	49
GO	Mutunópolis	2024	35.67	70.01	0	28.07	72.81	42	2.18	66
GO	Pires do Rio	2024	53.12	95.33	100	8.96	65.20	53	28.23	23
AC	Marechal Thaumaturgo	2023	21.36	32.20	0	4.87	48.35	21	1.45	76
PA	Alenquer	2023	47.06	58.07	100	3.60	51.32	25	2.17	84
PA	Almeirim	2023	57.79	67.38	100	9.72	83.16	72	12.02	44
PA	Faro	2023	23.85	66.42	0	7.16	42.77	4	4.34	40
PA	Paragominas	2023	65.88	90.77	100	7.89	84.12	83	16.49	89
PA	São Miguel do Guamá	2023	55.71	73.71	100	4.33	61.72	87	7.34	72
AP	Mazagão	2023	46.50	46.79	100	4.75	55.19	29	13.76	52
TO	Couto Magalhães	2023	41.47	48.44	100	11.72	38.75	1	3.59	60
TO	Natividade	2023	59.81	76.84	100	11.89	91.29	47	3.69	72
MA	Cajari	2023	20.33	36.73	0	5.08	36.30	57	1.54	47
MA	São João do Carú	2023	23.95	63.45	0	6.80	45.78	3	3.40	46
PI	Baixa Grande do Ribeiro	2023	53.18	63.88	100	14.12	66.76	67	6.21	43
PI	Campo Maior	2023	60.47	82.10	100	6.37	78.01	68	10.28	81
PI	José de Freitas	2023	50.69	63.33	100	2.45	56.45	64	7.51	60
CE	Jardim	2023	52.27	93.62	100	8.36	47.50	21	0.06	83
CE	Limoeiro do Norte	2023	62.78	95.08	100	6.99	82.63	71	20.36	32
CE	Madalena	2023	55.20	71.93	100	18.49	59.85	79	5.80	56
